hospitalID,expenditure,efficiency
1468,18961,0.005089394
1469,19976,0.004875851
1470,19421,0.005128469
1471,18036,0.00535041
1472,19421,0.005128469
1473,18036,0.00535041
1474,16548,0.005535412
1475,15057,0.006389055
1476,15703,0.006291791
1477,16148,0.006056478
1478,20312,0.004672115
1479,18506,0.005322598
1480,21702,0.004497281
1481,18353,0.005307034
1482,17518,0.005674164
1483,15322,0.006356872
1484,16016,0.005825425
1485,18135,0.005398401
1486,17042,0.005768102
1487,16669,0.005945168
1488,18126,0.005390047
1489,16669,0.005945168
1490,18126,0.005390047
1491,15704,0.006164035
1492,14811,0.006461414
1493,16416,0.005994152
1494,17863,0.005379835
1495,18218,0.005439675
1496,17844,0.005430397
1497,20425,0.00478825
1498,18495,0.00522844
1499,20425,0.00478825
1500,18495,0.00522844
1501,16958,0.005714117
1502,17425,0.005629842
1503,16160,0.006126238
1504,16523,0.006040065
1505,16160,0.006126238
1506,16523,0.006040065
1507,15497,0.00642705
1508,15412,0.00515183
1509,17685,0.005467911
1510,17799,0.005584583
1511,18251,0.005391485
1512,16282,0.006098759
1513,18255,0.005384826
1514,16383,0.005951291
1515,16394,0.0058802
1516,18260,0.005312158
1517,15294,0.006015431
1518,15540,0.006332046
1519,17270,0.005634047
1520,19749,0.004987594
1521,17270,0.005634047
